time,peak
288,0.48296358663836425
380,0.3831457671170021
472,0.30652336895120064
564,0.23907034412629294
656,0.19084491566724543
747,0.15069557543768247
839,0.12037797933358413
931,0.09584306150412594
1023,0.07537463097930018
1115,0.05863065840067587
1207,0.04731986840091418
1299,0.037172760407540445
1390,0.029000320872302553
1482,0.02239439002027431
1574,0.017011036354700807
1666,0.014127839080486893
1758,0.010123873462632006
1850,0.009218704498359794
1941,0.008004429167954408
2033,0.00581474797124132
